country,value_start,value_end,cagr
Equatorial Guinea,0.062,6.411,0.16721574221616842
Laos,0.513,19.492,0.12890648518154646
Nepal,0.721,15.632,0.10799034519764139
Vietnam,21.299,362.46,0.09908183229609357
Mali,0.422,6.448,0.09514196033289068
Cambodia,1.26,19.034,0.09472570892398946
Maldives,0.172,1.678,0.07888573354640593
Benin,0.579,5.518,0.07804470568039723
Burkina Faso,0.59,5.377,0.07643943800170194
Qatar,11.411,102.501,0.07592041122320081
Myanmar,4.236,34.588,0.07250415482864536
Tanzania,2.112,16.25,0.07038163320597057
Congo,1.008,7.677,0.07001787706670215
Uganda,0.761,5.571,0.06860766103148674
Bangladesh,14.082,95.454,0.06587021521088632
Bhutan,0.186,1.25,0.06556489021152201
Chad,0.377,2.356,0.06298661962589502
Mozambique,1.025,6.376,0.06282268329167517
Oman,11.222,68.625,0.06221819536977802
Turks and Caicos Islands,0.062,0.359,0.060286972349050894
Afghanistan,2.024,11.606,0.0599427336556706
Comoros,0.066,0.374,0.059524301451056916
Mauritania,0.854,4.782,0.05910346778874476
Ghana,3.514,19.168,0.058179072098468065
Sri Lanka,3.831,20.625,0.05771677828524946
Ethiopia,2.987,15.85,0.05720644360604177
Malaysia,54.269,263.199,0.054041589375357635
Guinea,1.004,4.499,0.05126630008837263
Sudan,4.783,21.165,0.05082548376409757
China,2484.855,10905.693,0.05053793772881088
Madagascar,0.944,3.975,0.04908860852433272
United Arab Emirates,51.704,217.38,0.049034685539877776
India,577.996,2421.552,0.04891178648942951
Niger,0.599,2.461,0.04822897372100887
South Sudan,0.42,1.693,0.047563252977563364
Seychelles,0.15,0.597,0.047119150585554825
Indonesia,155.081,608.223,0.04660661388017373
Palestine,0.861,3.327,0.04608824436259873
Honduras,2.505,9.526,0.04553063259664958
Mongolia,9.791,37.073,0.045380406829511166
Kenya,5.819,21.982,0.04529922453669322
Cameroon,2.605,9.716,0.044854921346183296
Papua New Guinea,2.154,7.867,0.04412408791526867
Iran,211.075,756.606,0.04347271964122279
Burundi,0.209,0.739,0.04299751030719068
Gambia,0.198,0.7,0.04299228265564348
Paraguay,2.136,7.377,0.042179719889074985
Guatemala,4.972,17.165,0.04216645380581463
Senegal,3.139,10.821,0.04211553338889318
Pakistan,67.827,230.754,0.041657362077690774
Saudi Arabia,182.025,616.086,0.041478582547977094
Zambia,2.407,8.144,0.04146670202204317
Nigeria,38.857,129.497,0.04094155938342103
